Name	GR
YOR357C	0.351
YKL190W	0.351
YBL039C	0.351
YLL038C	0.351
YOR266W	0.351
YAR044W	0.351
YDR154C	0.351
YKL163W	0.351
YGR132C	0.351
YAL066W	0.351
YNL284C	0.351
YMR297W	0.351
YIR003W	0.351
YDR153C	0.351
YOL061W	0.351
YML030W	0.351
YGL141W	0.351
YEL038W	0.351
YLR267W	0.351
YHR049W	0.351
YOL125W	0.351
YOR129C	0.351
YOR380W	0.351
YPR023C	0.351
YOR108W	0.351
YEL042W	0.351
YOR378W	0.351
YPL219W	0.350
YOR386W	0.350
YPR151C	0.350
YCR092C	0.350
YEL025C	0.350
YDR046C	0.350
YPL202C	0.350
YDL054C	0.350
YKL020C	0.350
YJR094C	0.350
YNR075W	0.350
YIL159W	0.350
YDL146W	0.350
YFR025C	0.350
YGL057C	0.350
YPL087W	0.350
YJR036C	0.350
YNL280C	0.350
YOR384W	0.350
YPL270W	0.350
YDL011C	0.350
YPL071C	0.350
YDL199C	0.350
YMR302C	0.350
YMR315W	0.350
YLR247C	0.350
YMR044W	0.350
YCL051W	0.350
YJL170C	0.350
YBR023C	0.350
YBL101C	0.350
YDR222W	0.350
YDR152W	0.350
YIR043C	0.350
YML118W	0.350
YJR062C	0.350
YLR330W	0.350
YGR045C	0.350
YML018C	0.350
YPL054W	0.350
YDL239C	0.350
YOR243C	0.350
YBR212W	0.350
YGL094C	0.350
YMR053C	0.349
YBR184W	0.349
YML066C	0.349
YKL166C	0.349
YIR038C	0.349
YMR178W	0.349
YCL047C	0.349
YOL056W	0.349
YML007W	0.349
YDL110C	0.349
YGR142W	0.349
YOR037W	0.349
YBL065W	0.349
YOR264W	0.349
YDR216W	0.349
YIR039C	0.349
YPR129W	0.349
YIR014W	0.349
YHR076W	0.349
YBL044W	0.349
YDR253C	0.349
YGR001C	0.349
YMR159C	0.349
YBR232C	0.349
YBR096W	0.349
YDR320C	0.349
YOR307C	0.349
YDR056C	0.349
YJR084W	0.349
YLR456W	0.349
YLR248W	0.349
YIL135C	0.349
YOR320C	0.349
YLR329W	0.349
YBR226C	0.349
YOR202W	0.349
YJL110C	0.349
YOR166C	0.349
YKL183W	0.349
YOR299W	0.349
YPL267W	0.349
YLR413W	0.349
YOL060C	0.349
YOR263C	0.349
YOR284W	0.349
YMR303C	0.349
YBL060W	0.349
YJL207C	0.349
YGR269W	0.349
YPL167C	0.349
YDR354W	0.349
YML028W	0.349
YGR054W	0.349
YBR098W	0.349
YOR165W	0.349
YJR153W	0.349
YOR311C	0.349
YOR172W	0.349
YJL013C	0.349
